(at pallet0 depot0), layer: 0
(clear crate1), layer: 0
(at pallet1 distributor0), layer: 0
(clear crate0), layer: 0
(at pallet2 distributor1), layer: 0
(clear pallet2), layer: 0
(at truck0 distributor1), layer: 0
(at truck1 depot0), layer: 0
(at hoist0 depot0), layer: 0
(available hoist0), layer: 0
(at hoist1 distributor0), layer: 0
(available hoist1), layer: 0
(at hoist2 distributor1), layer: 0
(available hoist2), layer: 0
(at crate0 distributor0), layer: 0
(on crate0 pallet1), layer: 0
(at crate1 depot0), layer: 0
(on crate1 pallet0), layer: 0
(at truck0 depot0), layer: 1
(at truck0 distributor0), layer: 1
(at truck1 distributor0), layer: 1
(at truck1 distributor1), layer: 1
(lifting hoist0 crate1), layer: 1
(clear pallet0), layer: 1
(lifting hoist1 crate0), layer: 1
(clear pallet1), layer: 1
(on crate1 crate1), layer: 2
(on crate0 crate0), layer: 2
(in crate1 truck0), layer: 2
(in crate0 truck0), layer: 2
(in crate1 truck1), layer: 2
(in crate0 truck1), layer: 2
(surface pallet0), layer: 0
(surface pallet1), layer: 0
(surface pallet2), layer: 0
(truck truck0), layer: 0
(truck truck1), layer: 0
(hoist hoist0), layer: 0
(hoist hoist1), layer: 0
(hoist hoist2), layer: 0
(crate crate0), layer: 0
(surface crate0), layer: 0
(crate crate1), layer: 0
(surface crate1), layer: 0
(place depot0), layer: 0
(place distributor0), layer: 0
(place distributor1), layer: 0
