(parked pr2), layer: 0
(not-pushing pr2), layer: 0
(base-pos pr2 x0 y0), layer: 0
(base-obstacle x0 y0), layer: 0
(base-obstacle x5 y6), layer: 0
(base-obstacle x2 y6), layer: 0
(base-obstacle x3 y6), layer: 0
(base-obstacle x6 y1), layer: 0
(base-obstacle x6 y4), layer: 0
(base-obstacle x1 y1), layer: 0
(gripper-obstacle x1 y1), layer: 0
(base-obstacle x1 y4), layer: 0
(gripper-obstacle x1 y4), layer: 0
(base-obstacle x2 y1), layer: 0
(gripper-obstacle x2 y1), layer: 0
(base-obstacle x2 y4), layer: 0
(gripper-obstacle x2 y4), layer: 0
(base-obstacle x3 y1), layer: 0
(gripper-obstacle x3 y1), layer: 0
(base-obstacle x3 y4), layer: 0
(gripper-obstacle x3 y4), layer: 0
(base-obstacle x4 y1), layer: 0
(gripper-obstacle x4 y1), layer: 0
(base-obstacle x4 y2), layer: 0
(gripper-obstacle x4 y2), layer: 0
(base-obstacle x4 y3), layer: 0
(gripper-obstacle x4 y3), layer: 0
(base-obstacle x4 y4), layer: 0
(gripper-obstacle x4 y4), layer: 0
(cart-pos cart x0 y1), layer: 0
(not-pushed cart), layer: 0
(base-obstacle x0 y1), layer: 0
(object-pos object0 x2 y3), layer: 0
(object-pos object1 x6 y1), layer: 0
(object-pos object2 x3 y3), layer: 0
(object-pos object3 x2 y2), layer: 0
(gripper-empty pr2), layer: 0
(gripper-rel pr2 xrel0 yrel0), layer: 0
(gripper-obstacle x2 y3), layer: 0
(gripper-obstacle x6 y1), layer: 0
(gripper-obstacle x3 y3), layer: 0
(gripper-obstacle x2 y2), layer: 0
(NOT-base-obstacle x0 y2), layer: 0
(NOT-base-obstacle x0 y3), layer: 0
(NOT-base-obstacle x0 y4), layer: 0
(NOT-base-obstacle x0 y5), layer: 0
(NOT-base-obstacle x0 y6), layer: 0
(NOT-base-obstacle x0 y7), layer: 0
(NOT-base-obstacle x0 y8), layer: 0
(NOT-base-obstacle x1 y0), layer: 0
(NOT-base-obstacle x1 y2), layer: 0
(NOT-base-obstacle x1 y3), layer: 0
(NOT-base-obstacle x1 y5), layer: 0
(NOT-base-obstacle x1 y6), layer: 0
(NOT-base-obstacle x1 y7), layer: 0
(NOT-base-obstacle x1 y8), layer: 0
(NOT-base-obstacle x2 y0), layer: 0
(NOT-base-obstacle x2 y2), layer: 0
(NOT-base-obstacle x2 y3), layer: 0
