(num-subs l0), layer: 0
(NOT-chosen wee1), layer: 0
(NOT-chosen sp1), layer: 0
(NOT-chosen skp2), layer: 0
(NOT-chosen skp1), layer: 0
(NOT-chosen rpa), layer: 0
(NOT-chosen prbp2), layer: 0
(NOT-chosen prbp1-e2f4p1-dp12), layer: 0
(NOT-chosen prb-e2f4p1-dp12), layer: 0
(NOT-chosen prb), layer: 0
(NOT-chosen plk1), layer: 0
(NOT-chosen pcaf), layer: 0
(NOT-chosen p57p1), layer: 0
(NOT-chosen p57), layer: 0
(NOT-chosen p53p1), layer: 0
(NOT-chosen p53), layer: 0
(NOT-chosen p300), layer: 0
(NOT-chosen p27), layer: 0
(NOT-chosen p16), layer: 0
(NOT-chosen p130), layer: 0
(NOT-chosen m1433), layer: 0
(NOT-chosen hdac1-prbp1-e2f4-dp12), layer: 0
(NOT-chosen hdac1-prbp1-e2f13p1-dp12), layer: 0
(NOT-chosen hdac1-p130-e2f4p1-dp12), layer: 0
(NOT-chosen hdac1-p107-e2f4p1-dp12), layer: 0
(NOT-chosen hbp1), layer: 0
(NOT-chosen ge-c), layer: 0
(NOT-chosen ge2), layer: 0
(NOT-chosen e2f6), layer: 0
(NOT-chosen e2f4-dp12p1), layer: 0
(NOT-chosen e2f4), layer: 0
(NOT-chosen e2f3), layer: 0
(NOT-chosen e2f13p1-dp12p1), layer: 0
(NOT-chosen e2f13-dp12), layer: 0
(NOT-chosen e2f13), layer: 0
(NOT-chosen e2f1), layer: 0
(NOT-chosen dp12), layer: 0
(NOT-chosen cych), layer: 0
(NOT-chosen cycb), layer: 0
(NOT-chosen c-tak1), layer: 0
(NOT-chosen cks1), layer: 0
(NOT-chosen chk1), layer: 0
(NOT-chosen cebp), layer: 0
(NOT-chosen cdk7), layer: 0
(NOT-chosen cdk46p3-cycdp1), layer: 0
(NOT-chosen cdk46p1), layer: 0
(NOT-chosen cdk2p1), layer: 0
(NOT-chosen cdk2-cycb), layer: 0
(NOT-chosen cdk2), layer: 0
(NOT-chosen cdk1p1p2), layer: 0
(NOT-chosen cdc25c), layer: 0
(NOT-chosen c-abl), layer: 0
(NOT-chosen ap2), layer: 0
(chosen wee1), layer: 1
(num-subs l1), layer: 1
(chosen sp1), layer: 1
(chosen skp2), layer: 1
(chosen skp1), layer: 1
(chosen rpa), layer: 1
(chosen prbp2), layer: 1
(chosen prbp1-e2f4p1-dp12), layer: 1
(chosen prb-e2f4p1-dp12), layer: 1
(chosen prb), layer: 1
(chosen plk1), layer: 1
(chosen pcaf), layer: 1
(chosen p57p1), layer: 1
(chosen p57), layer: 1
(chosen p53p1), layer: 1
(chosen p53), layer: 1
(chosen p300), layer: 1
(chosen p27), layer: 1
(chosen p16), layer: 1
(chosen p130), layer: 1
(chosen m1433), layer: 1
(chosen hdac1-prbp1-e2f4-dp12), layer: 1
(chosen hdac1-prbp1-e2f13p1-dp12), layer: 1
(chosen hdac1-p130-e2f4p1-dp12), layer: 1
(chosen hdac1-p107-e2f4p1-dp12), layer: 1
(chosen hbp1), layer: 1
(chosen ge-c), layer: 1
(chosen ge2), layer: 1
(chosen e2f6), layer: 1
(chosen e2f4-dp12p1), layer: 1
(chosen e2f4), layer: 1
(chosen e2f3), layer: 1
(chosen e2f13p1-dp12p1), layer: 1
(chosen e2f13-dp12), layer: 1
(chosen e2f13), layer: 1
(chosen e2f1), layer: 1
(chosen dp12), layer: 1
(chosen cych), layer: 1
(chosen cycb), layer: 1
(chosen c-tak1), layer: 1
(chosen cks1), layer: 1
(chosen chk1), layer: 1
(chosen cebp), layer: 1
(chosen cdk7), layer: 1
(chosen cdk46p3-cycdp1), layer: 1
(chosen cdk46p1), layer: 1
(chosen cdk2p1), layer: 1
(chosen cdk2-cycb), layer: 1
(chosen cdk2), layer: 1
(chosen cdk1p1p2), layer: 1
(chosen cdc25c), layer: 1
(chosen c-abl), layer: 1
(chosen ap2), layer: 1
(num-subs l2), layer: 2
(available wee1), layer: 2
(available sp1), layer: 2
(available skp2), layer: 2
(available skp1), layer: 2
(available rpa), layer: 2
(available prbp2), layer: 2
(available prbp1-e2f4p1-dp12), layer: 2
(available prb-e2f4p1-dp12), layer: 2
(available prb), layer: 2
(available plk1), layer: 2
(available pcaf), layer: 2
(available p57p1), layer: 2
(available p57), layer: 2
(available p53p1), layer: 2
(available p53), layer: 2
(available p300), layer: 2
(available p27), layer: 2
(available p16), layer: 2
(available p130), layer: 2
(available m1433), layer: 2
(available hdac1-prbp1-e2f4-dp12), layer: 2
(available hdac1-prbp1-e2f13p1-dp12), layer: 2
(available hdac1-p130-e2f4p1-dp12), layer: 2
(available hdac1-p107-e2f4p1-dp12), layer: 2
(available hbp1), layer: 2
(available ge-c), layer: 2
(available ge2), layer: 2
(available e2f6), layer: 2
(available e2f4-dp12p1), layer: 2
(available e2f4), layer: 2
(available e2f3), layer: 2
(available e2f13p1-dp12p1), layer: 2
(available e2f13-dp12), layer: 2
(available e2f13), layer: 2
(available e2f1), layer: 2
(available dp12), layer: 2
(available cych), layer: 2
(available cycb), layer: 2
(available c-tak1), layer: 2
(available cks1), layer: 2
(available chk1), layer: 2
(available cebp), layer: 2
(available cdk7), layer: 2
(available cdk46p3-cycdp1), layer: 2
(available cdk46p1), layer: 2
(available cdk2p1), layer: 2
(available cdk2-cycb), layer: 2
(available cdk2), layer: 2
(available cdk1p1p2), layer: 2
(available cdc25c), layer: 2
(available c-abl), layer: 2
(available ap2), layer: 2
(possible wee1), layer: 0
(possible sp1), layer: 0
(possible skp2), layer: 0
(possible skp1), layer: 0
(possible rpa), layer: 0
(possible prbp2), layer: 0
(possible prbp1-e2f4p1-dp12), layer: 0
(possible prb-e2f4p1-dp12), layer: 0
(possible prb), layer: 0
(possible plk1), layer: 0
(possible pcaf), layer: 0
(possible p57p1), layer: 0
(possible p57), layer: 0
(possible p53p1), layer: 0
(possible p53), layer: 0
(possible p300), layer: 0
(possible p27), layer: 0
(possible p16), layer: 0
(possible p130), layer: 0
(possible m1433), layer: 0
(possible hdac1-prbp1-e2f4-dp12), layer: 0
(possible hdac1-prbp1-e2f13p1-dp12), layer: 0
(possible hdac1-p130-e2f4p1-dp12), layer: 0
(possible hdac1-p107-e2f4p1-dp12), layer: 0
(possible hbp1), layer: 0
(possible ge-c), layer: 0
(possible ge2), layer: 0
(possible e2f6), layer: 0
(possible e2f4-dp12p1), layer: 0
(possible e2f4), layer: 0
(possible e2f3), layer: 0
(possible e2f13p1-dp12p1), layer: 0
(possible e2f13-dp12), layer: 0
(possible e2f13), layer: 0
(possible e2f1), layer: 0
(possible dp12), layer: 0
(possible cych), layer: 0
(possible cycb), layer: 0
(possible c-tak1), layer: 0
(possible cks1), layer: 0
(possible chk1), layer: 0
(possible cebp), layer: 0
(possible cdk7), layer: 0
(possible cdk46p3-cycdp1), layer: 0
(possible cdk46p1), layer: 0
(possible cdk2p1), layer: 0
(possible cdk2-cycb), layer: 0
(possible cdk2), layer: 0
(possible cdk1p1p2), layer: 0
(possible cdc25c), layer: 0
(possible c-abl), layer: 0
(possible ap2), layer: 0
(association-reaction ap2 ge-c ap2-ge-c), layer: 0
(synthesis-reaction ap2-ge-c ecadherin), layer: 0
(association-reaction c-abl prb c-abl-prb), layer: 0
(association-reaction c-abl prbp1 c-abl-prbp1), layer: 0
(association-reaction c-abl prbp1p2 c-abl-prbp1p2), layer: 0
(association-reaction c-abl prbp2 c-abl-prbp2), layer: 0
(catalyzed-association-reaction cdc25c cdk1p3-cyca cdc25cp1), layer: 0
(catalyzed-association-reaction cdc25c cdk1p3-cycb cdc25cp1), layer: 0
(catalyzed-association-reaction cdc25c chk1 cdc25cp2), layer: 0
(catalyzed-association-reaction cdc25c c-tak1 cdc25cp2), layer: 0
(catalyzed-association-reaction cdc25cp1 chk1 cdc25cp1p2), layer: 0
(catalyzed-association-reaction cdc25cp1 c-tak1 cdc25cp1p2), layer: 0
(catalyzed-association-reaction cdc25cp2 cdk1p3-cyca cdc25cp1p2), layer: 0
(catalyzed-association-reaction cdc25cp2 cdk1p3-cycb cdc25cp1p2), layer: 0
(catalyzed-association-reaction cdc25cp2 plk1 cdc25cp1p2), layer: 0
(catalyzed-association-reaction cdc25c plk1 cdc25cp1), layer: 0
(catalyzed-association-reaction cdk1 cdk7-cych cdk1p3), layer: 0
(association-reaction cdk1 cks1 cdk1-cks1), layer: 0
(association-reaction cdk1 gadd45 cdk1-gadd45), layer: 0
(catalyzed-association-reaction cdk1p1 cdc25cp1 cdk1), layer: 0
(catalyzed-association-reaction cdk1p1 cdc25cp1p2 cdk1), layer: 0
(catalyzed-association-reaction cdk1p1 cdk7-cych cdk1p1p3), layer: 0
(association-reaction cdk1p1 cks1 cdk1p1-cks1), layer: 0
(association-reaction cdk1p1 gadd45 cdk1p1-gadd45), layer: 0
(catalyzed-association-reaction cdk1p1p2 cdc25cp1 cdk1p1), layer: 0
(catalyzed-association-reaction cdk1p1p2 cdc25cp1 cdk1p2), layer: 0
(catalyzed-association-reaction cdk1p1p2 cdc25cp1p2 cdk1p1), layer: 0
