(rcnot l0_l1_i4), layer: 0
(rcnot l2_l3_i6), layer: 0
(rcnot l2_l3_i9), layer: 0
(rcnot l1_l2_i10), layer: 0
(rcnot l3_l0_i11), layer: 0
(rcnot l0_l1_i12), layer: 0
(rcnot l0_l1_i15), layer: 0
(rcnot l2_l3_i16), layer: 0
(rcnot l2_l3_i19), layer: 0
(rcnot l3_l0_i21), layer: 0
(NOT-occupied_pqubit p0), layer: 0
(NOT-occupied_pqubit p1), layer: 0
(NOT-occupied_pqubit p2), layer: 0
(NOT-occupied_pqubit p3), layer: 0
(NOT-occupied_pqubit p4), layer: 0
(NOT-occupied_pqubit p5), layer: 0
(NOT-occupied_pqubit p6), layer: 0
(NOT-occupied_pqubit p7), layer: 0
(NOT-occupied_pqubit p8), layer: 0
(NOT-occupied_pqubit p9), layer: 0
(NOT-occupied_pqubit p10), layer: 0
(NOT-occupied_pqubit p11), layer: 0
(NOT-occupied_pqubit p12), layer: 0
(NOT-occupied_pqubit p13), layer: 0
(NOT-initialized p0), layer: 0
(NOT-initialized p1), layer: 0
(NOT-initialized p2), layer: 0
(NOT-initialized p3), layer: 0
(NOT-initialized p4), layer: 0
(NOT-initialized p5), layer: 0
(NOT-initialized p6), layer: 0
(NOT-initialized p7), layer: 0
(NOT-initialized p8), layer: 0
(NOT-initialized p9), layer: 0
(NOT-initialized p10), layer: 0
(NOT-initialized p11), layer: 0
(NOT-initialized p12), layer: 0
(NOT-initialized p13), layer: 0
(mapped l0 p0), layer: 1
(mapped l1 p1), layer: 1
(NOT-rcnot l0_l1_i4), layer: 1
(mapped l0 p1), layer: 1
(mapped l1 p0), layer: 1
(mapped l1 p2), layer: 1
(mapped l1 p13), layer: 1
(mapped l0 p2), layer: 1
(mapped l1 p3), layer: 1
(mapped l1 p12), layer: 1
(mapped l0 p3), layer: 1
(mapped l1 p4), layer: 1
(mapped l1 p11), layer: 1
(mapped l0 p4), layer: 1
(mapped l1 p5), layer: 1
(mapped l1 p10), layer: 1
(mapped l0 p5), layer: 1
(mapped l1 p6), layer: 1
(mapped l1 p9), layer: 1
(mapped l0 p6), layer: 1
(mapped l1 p8), layer: 1
(mapped l0 p7), layer: 1
(mapped l0 p8), layer: 1
(mapped l1 p7), layer: 1
(mapped l0 p9), layer: 1
(mapped l0 p10), layer: 1
(mapped l0 p11), layer: 1
(mapped l0 p12), layer: 1
(mapped l0 p13), layer: 1
(mapped l2 p0), layer: 1
(mapped l3 p1), layer: 1
(NOT-rcnot l2_l3_i6), layer: 1
(mapped l2 p1), layer: 1
(mapped l3 p0), layer: 1
(mapped l3 p2), layer: 1
(mapped l3 p13), layer: 1
(mapped l2 p2), layer: 1
(mapped l3 p3), layer: 1
(mapped l3 p12), layer: 1
(mapped l2 p3), layer: 1
(mapped l3 p4), layer: 1
(mapped l3 p11), layer: 1
(mapped l2 p4), layer: 1
(mapped l3 p5), layer: 1
(mapped l3 p10), layer: 1
(mapped l2 p5), layer: 1
(mapped l3 p6), layer: 1
(mapped l3 p9), layer: 1
(mapped l2 p6), layer: 1
(mapped l3 p8), layer: 1
(mapped l2 p7), layer: 1
(mapped l2 p8), layer: 1
(mapped l3 p7), layer: 1
(mapped l2 p9), layer: 1
(mapped l2 p10), layer: 1
(mapped l2 p11), layer: 1
(mapped l2 p12), layer: 1
(mapped l2 p13), layer: 1
(NOT-rcnot l2_l3_i9), layer: 2
(connected p1 p0), layer: 0
(connected p1 p2), layer: 0
(connected p2 p3), layer: 0
(connected p4 p3), layer: 0
(connected p4 p10), layer: 0
(connected p5 p4), layer: 0
(connected p5 p6), layer: 0
(connected p5 p9), layer: 0
(connected p6 p8), layer: 0
(connected p7 p8), layer: 0
(connected p9 p8), layer: 0
(connected p9 p10), layer: 0
(connected p11 p3), layer: 0
(connected p11 p10), layer: 0
(connected p11 p12), layer: 0
(connected p12 p2), layer: 0
(connected p13 p1), layer: 0
(connected p13 p12), layer: 0
(connected p0 p1), layer: 0
(connected p2 p1), layer: 0
(connected p3 p2), layer: 0
(connected p3 p4), layer: 0
(connected p10 p4), layer: 0
(connected p4 p5), layer: 0
(connected p6 p5), layer: 0
(connected p9 p5), layer: 0
(connected p8 p6), layer: 0
(connected p8 p7), layer: 0
(connected p8 p9), layer: 0
(connected p10 p9), layer: 0
(connected p3 p11), layer: 0
(connected p10 p11), layer: 0
(connected p12 p11), layer: 0
(connected p2 p12), layer: 0
(connected p1 p13), layer: 0
(connected p12 p13), layer: 0
