(robot-pos pos-0-0), layer: 0
(moving), layer: 0
(available pos-0-4), layer: 0
(available pos-1-0), layer: 0
(available pos-3-0), layer: 0
(available pos-3-2), layer: 0
(available pos-3-3), layer: 0
(available pos-3-6), layer: 0
(available pos-4-0), layer: 0
(available pos-4-1), layer: 0
(available pos-4-2), layer: 0
(available pos-4-6), layer: 0
(available pos-5-0), layer: 0
(available pos-5-2), layer: 0
(available pos-5-3), layer: 0
(available pos-5-6), layer: 0
(available pos-6-3), layer: 0
(remaining-cells g0 n1), layer: 0
(remaining-cells g1 n3), layer: 0
(remaining-cells g2 n4), layer: 0
(remaining-cells g3 n4), layer: 0
(remaining-cells g4 n2), layer: 0
(remaining-cells g5 n1), layer: 0
(remaining-cells g6 n2), layer: 0
(remaining-cells g7 n2), layer: 0
(NOT-painted pos-0-0), layer: 0
(NOT-painted pos-0-1), layer: 0
(NOT-painted pos-0-2), layer: 0
(NOT-painted pos-0-3), layer: 0
(NOT-painted pos-0-4), layer: 0
(NOT-painted pos-0-5), layer: 0
(NOT-painted pos-0-6), layer: 0
(NOT-painted pos-1-0), layer: 0
(NOT-painted pos-1-1), layer: 0
(NOT-painted pos-1-2), layer: 0
(NOT-painted pos-1-3), layer: 0
(NOT-painted pos-1-4), layer: 0
(NOT-painted pos-1-5), layer: 0
(NOT-painted pos-1-6), layer: 0
(NOT-painted pos-2-0), layer: 0
(NOT-painted pos-2-1), layer: 0
(NOT-painted pos-2-2), layer: 0
(NOT-painted pos-2-3), layer: 0
(NOT-painted pos-2-4), layer: 0
(NOT-painted pos-2-5), layer: 0
(NOT-painted pos-2-6), layer: 0
(NOT-painted pos-3-0), layer: 0
(NOT-painted pos-3-1), layer: 0
(NOT-painted pos-3-2), layer: 0
(NOT-painted pos-3-3), layer: 0
(NOT-painted pos-3-4), layer: 0
(NOT-painted pos-3-5), layer: 0
(NOT-painted pos-3-6), layer: 0
(NOT-painted pos-4-0), layer: 0
(NOT-painted pos-4-1), layer: 0
(NOT-painted pos-4-2), layer: 0
(NOT-painted pos-4-3), layer: 0
(NOT-painted pos-4-4), layer: 0
(NOT-painted pos-4-5), layer: 0
(NOT-painted pos-4-6), layer: 0
(NOT-painted pos-5-0), layer: 0
(NOT-painted pos-5-1), layer: 0
(NOT-painted pos-5-2), layer: 0
(NOT-painted pos-5-3), layer: 0
(NOT-painted pos-5-4), layer: 0
(NOT-painted pos-5-5), layer: 0
