(stacks-avail n0), layer: 0
(waiting o1), layer: 0
(waiting o2), layer: 0
(waiting o3), layer: 0
(waiting o4), layer: 0
(waiting o5), layer: 0
(waiting o6), layer: 0
(waiting o7), layer: 0
(waiting o8), layer: 0
(waiting o9), layer: 0
(waiting o10), layer: 0
(waiting o11), layer: 0
(waiting o12), layer: 0
(waiting o13), layer: 0
(waiting o14), layer: 0
(waiting o15), layer: 0
(waiting o16), layer: 0
(waiting o17), layer: 0
(waiting o18), layer: 0
(waiting o19), layer: 0
(waiting o20), layer: 0
(waiting o21), layer: 0
(waiting o22), layer: 0
(waiting o23), layer: 0
(waiting o24), layer: 0
(waiting o25), layer: 0
(waiting o26), layer: 0
(waiting o27), layer: 0
(waiting o28), layer: 0
(waiting o29), layer: 0
(not-made p1), layer: 0
(not-made p2), layer: 0
(not-made p3), layer: 0
(not-made p4), layer: 0
(not-made p5), layer: 0
(not-made p6), layer: 0
(not-made p7), layer: 0
(not-made p8), layer: 0
(not-made p9), layer: 0
(not-made p10), layer: 0
(not-made p11), layer: 0
(not-made p12), layer: 0
(not-made p13), layer: 0
(not-made p14), layer: 0
(not-made p15), layer: 0
(not-made p16), layer: 0
(not-made p17), layer: 0
(not-made p18), layer: 0
(not-made p19), layer: 0
(not-made p20), layer: 0
(not-made p21), layer: 0
(not-made p22), layer: 0
(not-made p23), layer: 0
(not-made p24), layer: 0
(not-made p25), layer: 0
(not-made p26), layer: 0
(not-made p27), layer: 0
(not-made p28), layer: 0
(not-made p29), layer: 0
(stacks-avail n1), layer: 1
(stacks-avail n2), layer: 2
(started o1), layer: 2
(started o2), layer: 2
(started o3), layer: 2
(started o4), layer: 2
(started o5), layer: 2
(started o6), layer: 2
(started o7), layer: 2
(started o8), layer: 2
(started o9), layer: 2
(started o10), layer: 2
(started o11), layer: 2
(started o12), layer: 2
(started o13), layer: 2
(started o14), layer: 2
(started o15), layer: 2
(started o16), layer: 2
(started o17), layer: 2
(started o18), layer: 2
(started o19), layer: 2
(started o20), layer: 2
(started o21), layer: 2
(started o22), layer: 2
(started o23), layer: 2
(started o24), layer: 2
(started o25), layer: 2
(started o26), layer: 2
(started o27), layer: 2
(started o28), layer: 2
(started o29), layer: 2
(next-count n0 n1), layer: 0
(next-count n1 n2), layer: 0
(next-count n2 n3), layer: 0
(next-count n3 n4), layer: 0
(next-count n4 n5), layer: 0
(next-count n5 n6), layer: 0
(next-count n6 n7), layer: 0
(next-count n7 n8), layer: 0
(next-count n8 n9), layer: 0
(next-count n9 n10), layer: 0
(next-count n10 n11), layer: 0
(next-count n11 n12), layer: 0
(next-count n12 n13), layer: 0
(next-count n13 n14), layer: 0
(next-count n14 n15), layer: 0
(next-count n15 n16), layer: 0
(next-count n16 n17), layer: 0
(next-count n17 n18), layer: 0
(next-count n18 n19), layer: 0
(next-count n19 n20), layer: 0
(next-count n20 n21), layer: 0
(next-count n21 n22), layer: 0
(next-count n22 n23), layer: 0
(next-count n23 n24), layer: 0
(next-count n24 n25), layer: 0
(next-count n25 n26), layer: 0
(next-count n26 n27), layer: 0
(next-count n27 n28), layer: 0
(next-count n28 n29), layer: 0
