Diameter for move-curb-to-curb: inf
Diameter for move-curb-to-car: inf
Diameter for move-car-to-curb: inf
Diameter for move-car-to-car: inf
Init-to-goal-distance car_00 - car_12: inf
Init-to-goal-distance car_00 - curb_00: inf
Init-to-goal-distance car_01 - car_13: inf
Init-to-goal-distance car_01 - curb_01: inf
Init-to-goal-distance car_02 - car_14: inf
Init-to-goal-distance car_02 - curb_02: inf
Init-to-goal-distance car_03 - car_15: inf
Init-to-goal-distance car_03 - curb_03: inf
Init-to-goal-distance car_04 - car_16: inf
Init-to-goal-distance car_04 - curb_04: inf
Init-to-goal-distance car_05 - car_17: inf
Init-to-goal-distance car_05 - curb_05: inf
Init-to-goal-distance car_06 - car_18: inf
Init-to-goal-distance car_06 - curb_06: inf
Init-to-goal-distance car_07 - car_19: inf
Init-to-goal-distance car_07 - curb_07: inf
Init-to-goal-distance car_08 - car_20: inf
Init-to-goal-distance car_08 - curb_08: inf
Init-to-goal-distance car_09 - car_21: inf
Init-to-goal-distance car_09 - curb_09: inf
Init-to-goal-distance car_10 - curb_10: inf
Init-to-goal-distance car_11 - curb_11: inf
Init-to-goal-distance car_12 - curb_00: inf
Init-to-goal-distance car_13 - curb_01: inf
Init-to-goal-distance car_14 - curb_02: inf
Init-to-goal-distance car_15 - curb_03: inf
Init-to-goal-distance car_16 - curb_04: inf
Init-to-goal-distance car_17 - curb_05: inf
Init-to-goal-distance car_18 - curb_06: inf
Init-to-goal-distance car_19 - curb_07: inf
Init-to-goal-distance car_20 - curb_08: 0
Init-to-goal-distance car_21 - curb_09: -1
