Fact[452]:
  (person-at p5 loc-0-5 0-0-0)
  (person-at p5 loc-1-0 0-1-1)
  (person-at p5 loc-1-1 0-2-2)
  (person-at p5 loc-1-2 0-3-3)
  (person-at p5 loc-1-3 0-4-4)
  (person-at p5 loc-1-4 0-5-5)
  (person-at p5 loc-1-5 0-6-6)
  (person-at p5 loc-1-6 0-7-7)
  (person-at p5 loc-1-7 0-8-8)
  (person-at p5 loc-2-0 0-9-9)
  (person-at p5 loc-2-1 0-10-10)
  (person-at p5 loc-2-2 0-11-11)
  (person-at p5 loc-2-3 0-12-12)
  (person-at p5 loc-2-4 0-13-13)
  (person-at p5 loc-2-5 0-14-14)
  (person-at p5 loc-2-6 0-15-15)
  (person-at p5 loc-2-7 0-16-16)
  (person-at p5 loc-3-0 0-17-17)
  (person-at p5 loc-3-1 0-18-18)
  (person-at p5 loc-3-2 0-19-19)
  (person-at p5 loc-3-3 0-20-20)
  (person-at p5 loc-3-4 0-21-21)
  (person-at p5 loc-3-5 0-22-22)
  (person-at p5 loc-3-6 0-23-23)
  (person-at p5 loc-3-7 0-24-24)
  (person-at p5 loc-4-0 0-25-25)
  (person-at p5 loc-4-1 0-26-26)
  (person-at p5 loc-5-0 0-27-27)
  (person-at p5 loc-5-1 0-28-28)
  (person-at p5 loc-5-2 0-29-29)
  (person-at p5 loc-5-3 0-30-30)
  (person-at p5 loc-5-4 0-31-31)
  (person-at p5 loc-5-5 0-32-32)
  (person-at p5 loc-5-6 0-33-33)
  (person-at p5 loc-5-7 0-34-34)
  (person-at p5 loc-6-0 0-35-35)
  (person-at p5 loc-6-1 0-36-36)
  (person-at p5 loc-6-2 0-37-37)
  (person-at p5 loc-6-3 0-38-38)
  (person-at p5 loc-6-4 0-39-39)
  (person-at p5 loc-6-5 0-40-40)
  (person-at p5 loc-6-6 0-41-41)
  (person-at p5 loc-6-7 0-42-42)
  (person-at p5 loc-7-5 0-43-43)
  (person-at p0 loc-0-0 1-0-44)
  (person-at p0 loc-1-0 1-1-45)
  (person-at p0 loc-1-1 1-2-46)
  (person-at p0 loc-1-2 1-3-47)
  (person-at p0 loc-1-3 1-4-48)
  (person-at p0 loc-1-4 1-5-49)
  (person-at p0 loc-1-5 1-6-50)
  (person-at p0 loc-1-6 1-7-51)
  (person-at p0 loc-1-7 1-8-52)
  (person-at p0 loc-2-0 1-9-53)
  (person-at p0 loc-2-1 1-10-54)
  (person-at p0 loc-2-2 1-11-55)
  (person-at p0 loc-2-3 1-12-56)
  (person-at p0 loc-2-4 1-13-57)
  (person-at p0 loc-2-5 1-14-58)
  (person-at p0 loc-2-6 1-15-59)
  (person-at p0 loc-2-7 1-16-60)
  (person-at p0 loc-3-0 1-17-61)
  (person-at p0 loc-3-1 1-18-62)
  (person-at p0 loc-3-2 1-19-63)
