(tailsnake pos3-0), layer: 0
(headsnake pos4-0), layer: 0
(nextsnake pos4-0 pos3-0), layer: 0
(spawn pos2-0), layer: 0
(ispoint pos0-4), layer: 0
(ispoint pos3-1), layer: 0
(ispoint pos1-3), layer: 0
(ispoint pos2-4), layer: 0
(ispoint pos4-1), layer: 0
(NOT-blocked pos0-0), layer: 0
(NOT-blocked pos0-1), layer: 0
(NOT-blocked pos0-2), layer: 0
(NOT-blocked pos0-3), layer: 0
(NOT-blocked pos0-4), layer: 0
(NOT-blocked pos1-0), layer: 0
(NOT-blocked pos1-1), layer: 0
(NOT-blocked pos1-2), layer: 0
(NOT-blocked pos1-3), layer: 0
(NOT-blocked pos1-4), layer: 0
(NOT-blocked pos2-0), layer: 0
(NOT-blocked pos2-1), layer: 0
(NOT-blocked pos2-2), layer: 0
(NOT-blocked pos2-3), layer: 0
(NOT-blocked pos2-4), layer: 0
(NOT-blocked pos3-1), layer: 0
(NOT-blocked pos3-2), layer: 0
(NOT-blocked pos3-3), layer: 0
(NOT-blocked pos3-4), layer: 0
(NOT-blocked pos4-1), layer: 0
(NOT-blocked pos4-2), layer: 0
(NOT-blocked pos4-3), layer: 0
(NOT-blocked pos4-4), layer: 0
(NOT-ispoint pos0-0), layer: 0
(NOT-ispoint pos0-1), layer: 0
(NOT-ispoint pos0-2), layer: 0
(NOT-ispoint pos0-3), layer: 0
(NOT-ispoint pos1-0), layer: 0
(NOT-ispoint pos1-1), layer: 0
(NOT-ispoint pos1-2), layer: 0
(NOT-ispoint pos1-4), layer: 0
(NOT-ispoint pos2-0), layer: 0
(NOT-ispoint pos2-1), layer: 0
(NOT-ispoint pos2-2), layer: 0
(NOT-ispoint pos2-3), layer: 0
(NOT-ispoint pos3-0), layer: 0
(NOT-ispoint pos3-2), layer: 0
(NOT-ispoint pos3-3), layer: 0
(NOT-ispoint pos3-4), layer: 0
(NOT-ispoint pos4-0), layer: 0
(NOT-ispoint pos4-2), layer: 0
(NOT-ispoint pos4-3), layer: 0
(NOT-ispoint pos4-4), layer: 0
(headsnake pos4-1), layer: 1
(nextsnake pos4-1 pos4-0), layer: 1
(ispoint pos2-0), layer: 1
(spawn pos1-4), layer: 1
(NOT-ispoint pos4-1), layer: 1
(tailsnake pos4-0), layer: 2
(headsnake pos4-2), layer: 2
(nextsnake pos4-2 pos4-1), layer: 2
(headsnake pos3-1), layer: 2
(nextsnake pos3-1 pos4-1), layer: 2
(ispoint pos1-4), layer: 2
(spawn pos1-1), layer: 2
(NOT-blocked pos3-0), layer: 2
(NOT-ispoint pos3-1), layer: 2
(isadjacent pos0-0 pos1-0), layer: 0
(isadjacent pos0-0 pos0-1), layer: 0
(isadjacent pos0-1 pos1-1), layer: 0
(isadjacent pos0-1 pos0-2), layer: 0
(isadjacent pos0-1 pos0-0), layer: 0
(isadjacent pos0-2 pos1-2), layer: 0
(isadjacent pos0-2 pos0-3), layer: 0
(isadjacent pos0-2 pos0-1), layer: 0
(isadjacent pos0-3 pos1-3), layer: 0
(isadjacent pos0-3 pos0-4), layer: 0
(isadjacent pos0-3 pos0-2), layer: 0
(isadjacent pos0-4 pos1-4), layer: 0
(isadjacent pos0-4 pos0-3), layer: 0
(isadjacent pos1-0 pos2-0), layer: 0
(isadjacent pos1-0 pos1-1), layer: 0
(isadjacent pos1-0 pos0-0), layer: 0
(isadjacent pos1-1 pos2-1), layer: 0
(isadjacent pos1-1 pos1-2), layer: 0
(isadjacent pos1-1 pos0-1), layer: 0
(isadjacent pos1-1 pos1-0), layer: 0
(isadjacent pos1-2 pos2-2), layer: 0
(isadjacent pos1-2 pos1-3), layer: 0
(isadjacent pos1-2 pos0-2), layer: 0
(isadjacent pos1-2 pos1-1), layer: 0
(isadjacent pos1-3 pos2-3), layer: 0
(isadjacent pos1-3 pos1-4), layer: 0
(isadjacent pos1-3 pos0-3), layer: 0
(isadjacent pos1-3 pos1-2), layer: 0
(isadjacent pos1-4 pos2-4), layer: 0
(isadjacent pos1-4 pos0-4), layer: 0
(isadjacent pos1-4 pos1-3), layer: 0
(isadjacent pos2-0 pos3-0), layer: 0
(isadjacent pos2-0 pos2-1), layer: 0
(isadjacent pos2-0 pos1-0), layer: 0
(isadjacent pos2-1 pos3-1), layer: 0
(isadjacent pos2-1 pos2-2), layer: 0
(isadjacent pos2-1 pos1-1), layer: 0
(isadjacent pos2-1 pos2-0), layer: 0
(isadjacent pos2-2 pos3-2), layer: 0
(isadjacent pos2-2 pos2-3), layer: 0
(isadjacent pos2-2 pos1-2), layer: 0
(isadjacent pos2-2 pos2-1), layer: 0
(isadjacent pos2-3 pos3-3), layer: 0
(isadjacent pos2-3 pos2-4), layer: 0
(isadjacent pos2-3 pos1-3), layer: 0
(isadjacent pos2-3 pos2-2), layer: 0
(isadjacent pos2-4 pos3-4), layer: 0
(isadjacent pos2-4 pos1-4), layer: 0
(isadjacent pos2-4 pos2-3), layer: 0
(isadjacent pos3-0 pos4-0), layer: 0
(isadjacent pos3-0 pos3-1), layer: 0
(isadjacent pos3-0 pos2-0), layer: 0
(isadjacent pos3-1 pos4-1), layer: 0
(isadjacent pos3-1 pos3-2), layer: 0
(isadjacent pos3-1 pos2-1), layer: 0
(isadjacent pos3-1 pos3-0), layer: 0
(isadjacent pos3-2 pos4-2), layer: 0
(isadjacent pos3-2 pos3-3), layer: 0
(isadjacent pos3-2 pos2-2), layer: 0
(isadjacent pos3-2 pos3-1), layer: 0
(isadjacent pos3-3 pos4-3), layer: 0
(isadjacent pos3-3 pos3-4), layer: 0
(isadjacent pos3-3 pos2-3), layer: 0
(isadjacent pos3-3 pos3-2), layer: 0
(isadjacent pos3-4 pos4-4), layer: 0
(isadjacent pos3-4 pos2-4), layer: 0
(isadjacent pos3-4 pos3-3), layer: 0
(isadjacent pos4-0 pos4-1), layer: 0
(isadjacent pos4-0 pos3-0), layer: 0
(isadjacent pos4-1 pos4-2), layer: 0
(isadjacent pos4-1 pos3-1), layer: 0
(isadjacent pos4-1 pos4-0), layer: 0
(isadjacent pos4-2 pos4-3), layer: 0
(isadjacent pos4-2 pos3-2), layer: 0
(isadjacent pos4-2 pos4-1), layer: 0
(isadjacent pos4-3 pos4-4), layer: 0
(isadjacent pos4-3 pos3-3), layer: 0
(isadjacent pos4-3 pos4-2), layer: 0
(isadjacent pos4-4 pos3-4), layer: 0
(isadjacent pos4-4 pos4-3), layer: 0
(nextspawn pos1-0 dummypoint), layer: 0
(nextspawn pos2-0 pos1-4), layer: 0
(nextspawn pos1-4 pos1-1), layer: 0
(nextspawn pos1-1 pos0-1), layer: 0
(nextspawn pos0-1 pos3-3), layer: 0
(nextspawn pos3-3 pos4-2), layer: 0
(nextspawn pos4-2 pos3-4), layer: 0
(nextspawn pos3-4 pos0-0), layer: 0
(nextspawn pos0-0 pos1-2), layer: 0
(nextspawn pos1-2 pos1-0), layer: 0
