(robot-at robot1 tile_4-4), layer: 0
(robot-has robot1 white), layer: 0
(robot-at robot2 tile_2-3), layer: 0
(robot-has robot2 black), layer: 0
(clear tile_0-1), layer: 0
(clear tile_0-2), layer: 0
(clear tile_0-3), layer: 0
(clear tile_0-4), layer: 0
(clear tile_0-5), layer: 0
(clear tile_1-1), layer: 0
(clear tile_1-2), layer: 0
(clear tile_1-3), layer: 0
(clear tile_1-4), layer: 0
(clear tile_1-5), layer: 0
(clear tile_2-1), layer: 0
(clear tile_2-2), layer: 0
(clear tile_2-4), layer: 0
(clear tile_2-5), layer: 0
(clear tile_3-1), layer: 0
(clear tile_3-2), layer: 0
(clear tile_3-3), layer: 0
(clear tile_3-4), layer: 0
(clear tile_3-5), layer: 0
(clear tile_4-1), layer: 0
(clear tile_4-2), layer: 0
(clear tile_4-3), layer: 0
(clear tile_4-5), layer: 0
(clear tile_5-1), layer: 0
(clear tile_5-2), layer: 0
(clear tile_5-3), layer: 0
(clear tile_5-4), layer: 0
(clear tile_5-5), layer: 0
(clear tile_6-1), layer: 0
(clear tile_6-2), layer: 0
(clear tile_6-3), layer: 0
(clear tile_6-4), layer: 0
(clear tile_6-5), layer: 0
(robot-has robot1 black), layer: 1
(robot-has robot2 white), layer: 1
(painted tile_5-4 white), layer: 1
(painted tile_3-3 black), layer: 1
(painted tile_3-4 white), layer: 1
(painted tile_1-3 black), layer: 1
(robot-at robot1 tile_5-4), layer: 1
(clear tile_4-4), layer: 1
(robot-at robot2 tile_3-3), layer: 1
(clear tile_2-3), layer: 1
(robot-at robot1 tile_3-4), layer: 1
(robot-at robot2 tile_1-3), layer: 1
(robot-at robot1 tile_4-5), layer: 1
(robot-at robot2 tile_2-4), layer: 1
(robot-at robot1 tile_4-3), layer: 1
(robot-at robot2 tile_2-2), layer: 1
(painted tile_4-4 white), layer: 2
(painted tile_5-3 white), layer: 2
(painted tile_5-5 white), layer: 2
(painted tile_6-4 white), layer: 2
(painted tile_2-3 black), layer: 2
(painted tile_3-2 black), layer: 2
(painted tile_3-4 black), layer: 2
(painted tile_4-3 black), layer: 2
(painted tile_4-4 black), layer: 2
(painted tile_5-3 black), layer: 2
(painted tile_5-4 black), layer: 2
(painted tile_5-5 black), layer: 2
(painted tile_6-4 black), layer: 2
(painted tile_2-3 white), layer: 2
(painted tile_3-2 white), layer: 2
(painted tile_3-3 white), layer: 2
(painted tile_4-3 white), layer: 2
(painted tile_2-4 white), layer: 2
(painted tile_3-5 white), layer: 2
