Diameter for do-immersion-varnish: inf
Diameter for do-spray-varnish: inf
Diameter for do-glaze: inf
Diameter for do-grind: 3
Diameter for do-plane: 2
Diameter for load-highspeed-saw: inf
Diameter for unload-highspeed-saw: 1
Diameter for cut-board-small: inf
Diameter for cut-board-medium: inf
Diameter for cut-board-large: inf
Diameter for do-saw-small: inf
Diameter for do-saw-medium: inf
Diameter for do-saw-large: inf
Init-to-goal-distance smooth - varnished: inf
Init-to-goal-distance smooth - glazed: inf
Init-to-goal-distance smooth - green: inf
Init-to-goal-distance smooth - teak: inf
Init-to-goal-distance smooth - mahogany: inf
Init-to-goal-distance smooth - p0: inf
Init-to-goal-distance smooth - p1: inf
Init-to-goal-distance smooth - p2: inf
Init-to-goal-distance smooth - p3: inf
Init-to-goal-distance smooth - p4: inf
Init-to-goal-distance varnished - glazed: -1, w/ static: 0
Init-to-goal-distance varnished - green: inf
Init-to-goal-distance varnished - teak: 3
Init-to-goal-distance varnished - mahogany: -1
Init-to-goal-distance varnished - p0: inf
Init-to-goal-distance varnished - p1: 3
Init-to-goal-distance varnished - p2: -1
Init-to-goal-distance varnished - p3: inf
Init-to-goal-distance varnished - p4: inf
Init-to-goal-distance glazed - green: inf
Init-to-goal-distance glazed - teak: 4
Init-to-goal-distance glazed - mahogany: -2
Init-to-goal-distance glazed - p0: inf
Init-to-goal-distance glazed - p1: 2
Init-to-goal-distance glazed - p2: -2
Init-to-goal-distance glazed - p3: inf
Init-to-goal-distance glazed - p4: inf
Init-to-goal-distance green - teak: inf
Init-to-goal-distance green - mahogany: inf
Init-to-goal-distance green - p0: inf
Init-to-goal-distance green - p1: inf
Init-to-goal-distance green - p2: inf
Init-to-goal-distance green - p3: inf
Init-to-goal-distance green - p4: inf
Init-to-goal-distance teak - mahogany: 0
Init-to-goal-distance teak - p0: inf
Init-to-goal-distance teak - p1: 4
Init-to-goal-distance teak - p2: 0
Init-to-goal-distance teak - p3: inf
Init-to-goal-distance teak - p4: inf
Init-to-goal-distance mahogany - p0: inf
Init-to-goal-distance mahogany - p1: 0
Init-to-goal-distance mahogany - p2: -2
Init-to-goal-distance mahogany - p3: inf
Init-to-goal-distance mahogany - p4: inf
Init-to-goal-distance p0 - p1: inf
Init-to-goal-distance p0 - p2: inf
Init-to-goal-distance p0 - p3: inf
Init-to-goal-distance p0 - p4: -2, w/ static: 0
Init-to-goal-distance p1 - p2: 0
Init-to-goal-distance p1 - p3: inf
Init-to-goal-distance p1 - p4: inf
Init-to-goal-distance p2 - p3: inf
Init-to-goal-distance p2 - p4: inf
Init-to-goal-distance p3 - p4: inf
