(at truck1 l3), layer: 0
(free a1 truck1), layer: 0
(free a2 truck1), layer: 0
(at package1 l2), layer: 0
(at package2 l2), layer: 0
(at package3 l2), layer: 0
(time-now t0), layer: 0
(time-now t1), layer: 1
(at truck1 l1), layer: 1
(at truck1 l2), layer: 1
(in package1 truck1 a1), layer: 2
(in package2 truck1 a1), layer: 2
(in package3 truck1 a1), layer: 2
(time-now t2), layer: 2
(delivered package1 l2 t1), layer: 2
(at-destination package1 l2), layer: 2
(delivered package1 l2 t2), layer: 2
(delivered package1 l2 t3), layer: 2
(delivered package1 l2 t4), layer: 2
(delivered package1 l2 t5), layer: 2
(delivered package1 l2 t6), layer: 2
(delivered package2 l2 t1), layer: 2
(at-destination package2 l2), layer: 2
(delivered package2 l2 t2), layer: 2
(delivered package2 l2 t3), layer: 2
(delivered package2 l2 t4), layer: 2
(delivered package2 l2 t5), layer: 2
(delivered package2 l2 t6), layer: 2
(delivered package3 l2 t1), layer: 2
(at-destination package3 l2), layer: 2
(delivered package3 l2 t2), layer: 2
(delivered package3 l2 t3), layer: 2
(delivered package3 l2 t4), layer: 2
(delivered package3 l2 t5), layer: 2
(delivered package3 l2 t6), layer: 2
(in package1 truck1 a2), layer: 2
(in package2 truck1 a2), layer: 2
(in package3 truck1 a2), layer: 2
(connected l1 l2), layer: 0
(connected l1 l3), layer: 0
(connected l2 l1), layer: 0
(connected l2 l3), layer: 0
(connected l3 l1), layer: 0
(connected l3 l2), layer: 0
(le t1 t1), layer: 0
(le t1 t2), layer: 0
(le t1 t3), layer: 0
(le t1 t4), layer: 0
(le t1 t5), layer: 0
(le t1 t6), layer: 0
(le t2 t2), layer: 0
(le t2 t3), layer: 0
(le t2 t4), layer: 0
(le t2 t5), layer: 0
(le t2 t6), layer: 0
(le t3 t3), layer: 0
(le t3 t4), layer: 0
(le t3 t5), layer: 0
(le t3 t6), layer: 0
(le t4 t4), layer: 0
(le t4 t5), layer: 0
(le t4 t6), layer: 0
(le t5 t5), layer: 0
(le t5 t6), layer: 0
(le t6 t6), layer: 0
(next t0 t1), layer: 0
(next t1 t2), layer: 0
(next t2 t3), layer: 0
(next t3 t4), layer: 0
(next t4 t5), layer: 0
(next t5 t6), layer: 0
