Diameter for do-immersion-varnish: inf
Diameter for do-spray-varnish: inf
Diameter for do-glaze: inf
Diameter for do-grind: 3
Diameter for do-plane: 2
Diameter for load-highspeed-saw: inf
Diameter for unload-highspeed-saw: 1
Diameter for cut-board-small: inf
Diameter for cut-board-medium: inf
Diameter for cut-board-large: inf
Diameter for do-saw-small: inf
Diameter for do-saw-medium: inf
Diameter for do-saw-large: inf
Init-to-goal-distance verysmooth - smooth: 4
Init-to-goal-distance verysmooth - varnished: 0
Init-to-goal-distance verysmooth - glazed: 3
Init-to-goal-distance verysmooth - black: inf
Init-to-goal-distance verysmooth - white: inf
Init-to-goal-distance verysmooth - green: inf
Init-to-goal-distance verysmooth - red: inf
Init-to-goal-distance verysmooth - teak: 0
Init-to-goal-distance verysmooth - mahogany: 4
Init-to-goal-distance verysmooth - walnut: 4
Init-to-goal-distance verysmooth - p0: 0
Init-to-goal-distance verysmooth - p1: inf
Init-to-goal-distance verysmooth - p2: inf
Init-to-goal-distance verysmooth - p3: 0
Init-to-goal-distance verysmooth - p4: inf
Init-to-goal-distance verysmooth - p5: inf
Init-to-goal-distance verysmooth - p6: inf
Init-to-goal-distance verysmooth - p7: inf
Init-to-goal-distance verysmooth - p8: inf
Init-to-goal-distance verysmooth - p9: inf
Init-to-goal-distance verysmooth - p10: inf
Init-to-goal-distance verysmooth - p11: inf
Init-to-goal-distance smooth - varnished: 6
Init-to-goal-distance smooth - glazed: 9
Init-to-goal-distance smooth - black: inf
Init-to-goal-distance smooth - white: inf
Init-to-goal-distance smooth - green: inf
Init-to-goal-distance smooth - red: inf
Init-to-goal-distance smooth - teak: 2
Init-to-goal-distance smooth - mahogany: -2
Init-to-goal-distance smooth - walnut: 0
Init-to-goal-distance smooth - p0: 8
Init-to-goal-distance smooth - p1: inf
Init-to-goal-distance smooth - p2: inf
Init-to-goal-distance smooth - p3: 4
Init-to-goal-distance smooth - p4: inf
Init-to-goal-distance smooth - p5: inf
Init-to-goal-distance smooth - p6: inf
Init-to-goal-distance smooth - p7: inf
Init-to-goal-distance smooth - p8: inf
Init-to-goal-distance smooth - p9: inf
Init-to-goal-distance smooth - p10: inf
Init-to-goal-distance smooth - p11: inf
Init-to-goal-distance varnished - glazed: -1, w/ static: 0
Init-to-goal-distance varnished - black: inf
Init-to-goal-distance varnished - white: inf
Init-to-goal-distance varnished - green: inf
Init-to-goal-distance varnished - red: inf
Init-to-goal-distance varnished - teak: -2
Init-to-goal-distance varnished - mahogany: 4
Init-to-goal-distance varnished - walnut: 2
Init-to-goal-distance varnished - p0: 0
Init-to-goal-distance varnished - p1: inf
Init-to-goal-distance varnished - p2: inf
Init-to-goal-distance varnished - p3: -2
Init-to-goal-distance varnished - p4: inf
Init-to-goal-distance varnished - p5: inf
Init-to-goal-distance varnished - p6: inf
Init-to-goal-distance varnished - p7: inf
Init-to-goal-distance varnished - p8: inf
Init-to-goal-distance varnished - p9: inf
Init-to-goal-distance varnished - p10: inf
Init-to-goal-distance varnished - p11: inf
Init-to-goal-distance glazed - black: inf
Init-to-goal-distance glazed - white: inf
Init-to-goal-distance glazed - green: inf
Init-to-goal-distance glazed - red: inf
Init-to-goal-distance glazed - teak: 3
Init-to-goal-distance glazed - mahogany: 7
Init-to-goal-distance glazed - walnut: 7
Init-to-goal-distance glazed - p0: 3
Init-to-goal-distance glazed - p1: inf
Init-to-goal-distance glazed - p2: inf
Init-to-goal-distance glazed - p3: 3
Init-to-goal-distance glazed - p4: inf
Init-to-goal-distance glazed - p5: inf
Init-to-goal-distance glazed - p6: inf
Init-to-goal-distance glazed - p7: inf
Init-to-goal-distance glazed - p8: inf
Init-to-goal-distance glazed - p9: inf
Init-to-goal-distance glazed - p10: inf
Init-to-goal-distance glazed - p11: inf
Init-to-goal-distance black - white: -2, w/ static: 0
Init-to-goal-distance black - green: -2, w/ static: 0
Init-to-goal-distance black - red: -2, w/ static: 0
Init-to-goal-distance black - teak: inf
Init-to-goal-distance black - mahogany: inf
Init-to-goal-distance black - walnut: inf
Init-to-goal-distance black - p0: inf
Init-to-goal-distance black - p1: inf
Init-to-goal-distance black - p2: inf
Init-to-goal-distance black - p3: inf
Init-to-goal-distance black - p4: inf
Init-to-goal-distance black - p5: inf
