(saved data-0-3 server3), layer: 0
(saved data-0-5 server1), layer: 0
(usage server1 number0), layer: 0
(usage server2 number0), layer: 0
(usage server3 number0), layer: 0
(NOT-cached data-0-3 server1), layer: 0
(NOT-cached data-0-3 server2), layer: 0
(NOT-cached data-0-3 server3), layer: 0
(NOT-cached data-0-5 server1), layer: 0
(NOT-cached data-0-5 server2), layer: 0
(NOT-cached data-0-5 server3), layer: 0
(NOT-cached data-1-2 server1), layer: 0
(NOT-cached data-1-2 server2), layer: 0
(NOT-cached data-1-2 server3), layer: 0
(NOT-cached data-1-4 server1), layer: 0
(NOT-cached data-1-4 server2), layer: 0
(NOT-cached data-1-4 server3), layer: 0
(NOT-cached data-2-1 server1), layer: 0
(NOT-cached data-2-1 server2), layer: 0
(NOT-cached data-2-1 server3), layer: 0
(usage server3 number4), layer: 1
(cached data-0-3 server3), layer: 1
(usage server1 number5), layer: 1
(cached data-0-5 server1), layer: 1
(usage server3 number8), layer: 2
(usage server1 number10), layer: 2
(usage server1 number4), layer: 2
(cached data-0-3 server1), layer: 2
(usage server1 number9), layer: 2
(usage server2 number5), layer: 2
(cached data-0-5 server2), layer: 2
(usage server3 number5), layer: 2
(cached data-0-5 server3), layer: 2
(script-io script1 data-0-3 data-0-5 data-1-4), layer: 0
(script-io script2 data-0-5 data-0-3 data-1-2), layer: 0
(script-io script3 data-1-4 data-0-5 data-2-1), layer: 0
(script-io script4 data-0-3 data-0-5 data-1-4), layer: 0
(script-io script5 data-1-2 data-0-5 data-2-1), layer: 0
(script-io script6 data-1-2 data-0-3 data-2-1), layer: 0
(script-io script7 data-0-5 data-0-3 data-1-2), layer: 0
(script-io script8 data-1-4 data-1-2 data-2-1), layer: 0
(script-io script9 data-0-3 data-0-5 data-1-4), layer: 0
(script-io script10 data-1-2 data-1-4 data-2-1), layer: 0
(connected server1 server2), layer: 0
(connected server2 server1), layer: 0
(connected server1 server3), layer: 0
(connected server3 server1), layer: 0
(data-size data-0-3 number4), layer: 0
(data-size data-0-5 number5), layer: 0
(data-size data-1-2 number4), layer: 0
(data-size data-1-4 number1), layer: 0
(data-size data-2-1 number4), layer: 0
(capacity server1 number16), layer: 0
(capacity server2 number8), layer: 0
(capacity server3 number8), layer: 0
(sum number0 number1 number1), layer: 0
(sum number0 number4 number4), layer: 0
(sum number0 number5 number5), layer: 0
(sum number1 number1 number2), layer: 0
(sum number1 number4 number5), layer: 0
(sum number1 number5 number6), layer: 0
(sum number2 number1 number3), layer: 0
(sum number2 number4 number6), layer: 0
(sum number2 number5 number7), layer: 0
(sum number3 number1 number4), layer: 0
(sum number3 number4 number7), layer: 0
(sum number3 number5 number8), layer: 0
(sum number4 number1 number5), layer: 0
(sum number4 number4 number8), layer: 0
(sum number4 number5 number9), layer: 0
(sum number5 number1 number6), layer: 0
(sum number5 number4 number9), layer: 0
(sum number5 number5 number10), layer: 0
(sum number6 number1 number7), layer: 0
(sum number6 number4 number10), layer: 0
(sum number6 number5 number11), layer: 0
(sum number7 number1 number8), layer: 0
(sum number7 number4 number11), layer: 0
(sum number7 number5 number12), layer: 0
(sum number8 number1 number9), layer: 0
(sum number8 number4 number12), layer: 0
(sum number8 number5 number13), layer: 0
(sum number9 number1 number10), layer: 0
(sum number9 number4 number13), layer: 0
(sum number9 number5 number14), layer: 0
(sum number10 number1 number11), layer: 0
(sum number10 number4 number14), layer: 0
(sum number10 number5 number15), layer: 0
(sum number11 number1 number12), layer: 0
(sum number11 number4 number15), layer: 0
(sum number11 number5 number16), layer: 0
(sum number12 number1 number13), layer: 0
(sum number12 number4 number16), layer: 0
(sum number13 number1 number14), layer: 0
(sum number14 number1 number15), layer: 0
(sum number15 number1 number16), layer: 0
(less-equal number1 number8), layer: 0
(less-equal number1 number16), layer: 0
(less-equal number2 number8), layer: 0
(less-equal number2 number16), layer: 0
(less-equal number3 number8), layer: 0
(less-equal number3 number16), layer: 0
(less-equal number4 number8), layer: 0
(less-equal number4 number16), layer: 0
(less-equal number5 number8), layer: 0
(less-equal number5 number16), layer: 0
(less-equal number6 number8), layer: 0
(less-equal number6 number16), layer: 0
(less-equal number7 number8), layer: 0
(less-equal number7 number16), layer: 0
(less-equal number8 number8), layer: 0
(less-equal number8 number16), layer: 0
(less-equal number9 number16), layer: 0
(less-equal number10 number16), layer: 0
(less-equal number11 number16), layer: 0
(less-equal number12 number16), layer: 0
(less-equal number13 number16), layer: 0
(less-equal number14 number16), layer: 0
(less-equal number15 number16), layer: 0
(less-equal number16 number16), layer: 0
