(today d1), layer: 0
(today d2), layer: 0
(today d3), layer: 0
(today d4), layer: 0
(today d5), layer: 0
(today d6), layer: 0
(today d7), layer: 0
(today d8), layer: 0
(today d9), layer: 0
(today d10), layer: 0
(today d11), layer: 0
(today d12), layer: 0
(today d13), layer: 0
(today d14), layer: 0
(today d15), layer: 0
(done ap1), layer: 1
(done ap2), layer: 1
(done ap3), layer: 1
(done ap4), layer: 1
(done ap5), layer: 1
(done ap6), layer: 1
(done ap7), layer: 1
(done ap8), layer: 1
(done ap9), layer: 1
(done ap10), layer: 1
(done ap11), layer: 1
(done ap12), layer: 1
(done ap13), layer: 1
(done ap14), layer: 1
(done ap15), layer: 1
(done ap16), layer: 1
(done ap17), layer: 1
(done ap18), layer: 1
(done ap19), layer: 1
(done ap20), layer: 1
(at ap1 d15 ber), layer: 0
(at ap1 d15 ham), layer: 0
(at ap2 d14 ber), layer: 0
(at ap2 d2 ham), layer: 0
(at ap3 d10 ber), layer: 0
(at ap3 d15 ber), layer: 0
(at ap4 d4 fra), layer: 0
(at ap4 d3 ham), layer: 0
(at ap5 d3 ber), layer: 0
(at ap5 d10 ber), layer: 0
(at ap6 d3 ber), layer: 0
(at ap6 d8 ham), layer: 0
(at ap7 d10 ber), layer: 0
(at ap7 d6 ham), layer: 0
(at ap8 d9 ber), layer: 0
(at ap8 d15 ber), layer: 0
(at ap9 d1 ber), layer: 0
(at ap9 d9 ham), layer: 0
(at ap10 d4 fra), layer: 0
(at ap11 d12 ber), layer: 0
(at ap11 d14 ber), layer: 0
(at ap12 d12 ber), layer: 0
(at ap12 d9 ham), layer: 0
(at ap13 d4 fra), layer: 0
(at ap13 d5 ber), layer: 0
(at ap14 d3 fra), layer: 0
(at ap14 d10 fra), layer: 0
(at ap15 d15 fra), layer: 0
(at ap15 d1 ham), layer: 0
(at ap16 d6 ham), layer: 0
(at ap16 d8 ham), layer: 0
(at ap17 d5 fra), layer: 0
(at ap17 d6 ham), layer: 0
(at ap18 d15 ber), layer: 0
(at ap18 d10 ham), layer: 0
(at ap19 d8 fra), layer: 0
(at ap19 d13 ham), layer: 0
(at ap20 d1 ber), layer: 0
(at ap20 d9 ham), layer: 0
