(at driver1 s2), layer: 0
(at driver2 s2), layer: 0
(at truck1 s0), layer: 0
(empty truck1), layer: 0
(at truck2 s0), layer: 0
(empty truck2), layer: 0
(at package1 s0), layer: 0
(at package2 s0), layer: 0
(in package1 truck1), layer: 1
(in package1 truck2), layer: 1
(in package2 truck1), layer: 1
(in package2 truck2), layer: 1
(at driver1 p1-2), layer: 1
(at driver2 p1-2), layer: 1
(at driver1 s1), layer: 2
(at driver2 s1), layer: 2
(driver driver1), layer: 0
(driver driver2), layer: 0
(truck truck1), layer: 0
(truck truck2), layer: 0
(obj package1), layer: 0
(obj package2), layer: 0
(location s0), layer: 0
(location s1), layer: 0
(location s2), layer: 0
(location p1-0), layer: 0
(location p1-2), layer: 0
(path s1 p1-0), layer: 0
(path p1-0 s1), layer: 0
(path s0 p1-0), layer: 0
(path p1-0 s0), layer: 0
(path s1 p1-2), layer: 0
(path p1-2 s1), layer: 0
(path s2 p1-2), layer: 0
(path p1-2 s2), layer: 0
(link s0 s1), layer: 0
(link s1 s0), layer: 0
(link s0 s2), layer: 0
(link s2 s0), layer: 0
(link s2 s1), layer: 0
(link s1 s2), layer: 0
