(on car-in-1 seg-in-1), layer: 0
(on car-in-2 seg-in-2), layer: 0
(on car-in-3 seg-in-3), layer: 0
(on car-in-4 seg-in-4), layer: 0
(on car-in-5 seg-in-5), layer: 0
(on car-in-6 seg-in-6), layer: 0
(on car-in-7 seg-in-7), layer: 0
(on car-in-8 seg-in-8), layer: 0
(on car-out-1 seg-out-1), layer: 0
(on car-out-2 seg-out-2), layer: 0
(on car-out-3 seg-out-3), layer: 0
(on car-out-4 seg-out-4), layer: 0
(on car-out-5 seg-out-5), layer: 0
(on car-out-6 seg-out-6), layer: 0
(on car-out-7 seg-out-7), layer: 0
(on car-out-8 seg-out-8), layer: 0
(on car-in-1 seg-out-1), layer: 1
(on car-out-1 seg-in-1), layer: 1
(analyzed car-in-1), layer: 1
(on car-in-1 seg-out-2), layer: 1
(on car-out-2 seg-in-1), layer: 1
(on car-in-1 seg-out-3), layer: 1
(on car-out-3 seg-in-1), layer: 1
(on car-in-1 seg-out-4), layer: 1
(on car-out-4 seg-in-1), layer: 1
(on car-in-1 seg-out-5), layer: 1
(on car-out-5 seg-in-1), layer: 1
(on car-in-1 seg-out-6), layer: 1
(on car-out-6 seg-in-1), layer: 1
(on car-in-1 seg-out-7), layer: 1
(on car-out-7 seg-in-1), layer: 1
(on car-in-1 seg-out-8), layer: 1
(on car-out-8 seg-in-1), layer: 1
(on car-in-2 seg-out-1), layer: 1
(on car-out-1 seg-in-2), layer: 1
(analyzed car-in-2), layer: 1
(on car-in-2 seg-out-2), layer: 1
(on car-out-2 seg-in-2), layer: 1
(on car-in-2 seg-out-3), layer: 1
(on car-out-3 seg-in-2), layer: 1
(on car-in-2 seg-out-4), layer: 1
(on car-out-4 seg-in-2), layer: 1
(on car-in-2 seg-out-5), layer: 1
(on car-out-5 seg-in-2), layer: 1
(on car-in-2 seg-out-6), layer: 1
(on car-out-6 seg-in-2), layer: 1
(on car-in-2 seg-out-7), layer: 1
(on car-out-7 seg-in-2), layer: 1
(on car-in-2 seg-out-8), layer: 1
(on car-out-8 seg-in-2), layer: 1
(on car-in-3 seg-out-1), layer: 1
(on car-out-1 seg-in-3), layer: 1
(analyzed car-in-3), layer: 1
(on car-in-3 seg-out-2), layer: 1
(on car-out-2 seg-in-3), layer: 1
(on car-in-3 seg-out-3), layer: 1
(on car-out-3 seg-in-3), layer: 1
(on car-in-3 seg-out-4), layer: 1
(on car-out-4 seg-in-3), layer: 1
(on car-in-3 seg-out-5), layer: 1
(on car-out-5 seg-in-3), layer: 1
(on car-in-3 seg-out-6), layer: 1
(on car-out-6 seg-in-3), layer: 1
(on car-in-3 seg-out-7), layer: 1
(on car-out-7 seg-in-3), layer: 1
(on car-in-3 seg-out-8), layer: 1
(on car-out-8 seg-in-3), layer: 1
(on car-in-4 seg-out-1), layer: 1
(on car-out-1 seg-in-4), layer: 1
(analyzed car-in-4), layer: 1
(on car-in-4 seg-out-2), layer: 1
(on car-out-2 seg-in-4), layer: 1
(on car-in-4 seg-out-3), layer: 1
(on car-out-3 seg-in-4), layer: 1
(on car-in-4 seg-out-4), layer: 1
(on car-out-4 seg-in-4), layer: 1
(on car-in-4 seg-out-5), layer: 1
(on car-out-5 seg-in-4), layer: 1
(on car-in-4 seg-out-6), layer: 1
(on car-out-6 seg-in-4), layer: 1
(on car-in-4 seg-out-7), layer: 1
(on car-out-7 seg-in-4), layer: 1
(on car-in-4 seg-out-8), layer: 1
(on car-out-8 seg-in-4), layer: 1
(on car-in-5 seg-out-1), layer: 1
(on car-out-1 seg-in-5), layer: 1
(analyzed car-in-5), layer: 1
(on car-in-5 seg-out-2), layer: 1
(on car-out-2 seg-in-5), layer: 1
(on car-in-5 seg-out-3), layer: 1
(on car-out-3 seg-in-5), layer: 1
(on car-in-5 seg-out-4), layer: 1
(on car-out-4 seg-in-5), layer: 1
(on car-in-5 seg-out-5), layer: 1
(on car-out-5 seg-in-5), layer: 1
(on car-in-5 seg-out-6), layer: 1
(on car-out-6 seg-in-5), layer: 1
(on car-in-5 seg-out-7), layer: 1
(on car-out-7 seg-in-5), layer: 1
(on car-in-5 seg-out-8), layer: 1
(on car-out-8 seg-in-5), layer: 1
(on car-in-6 seg-out-1), layer: 1
(on car-out-1 seg-in-6), layer: 1
(analyzed car-in-6), layer: 1
(on car-in-6 seg-out-2), layer: 1
(on car-out-2 seg-in-6), layer: 1
(on car-in-6 seg-out-3), layer: 1
(on car-out-3 seg-in-6), layer: 1
(on car-in-6 seg-out-4), layer: 1
(on car-out-4 seg-in-6), layer: 1
(on car-in-6 seg-out-5), layer: 1
(on car-out-5 seg-in-6), layer: 1
(on car-in-6 seg-out-6), layer: 1
(on car-out-6 seg-in-6), layer: 1
(on car-in-6 seg-out-7), layer: 1
(on car-out-7 seg-in-6), layer: 1
(on car-in-6 seg-out-8), layer: 1
(on car-out-8 seg-in-6), layer: 1
(on car-in-7 seg-out-1), layer: 1
(on car-out-1 seg-in-7), layer: 1
(analyzed car-in-7), layer: 1
(on car-in-7 seg-out-2), layer: 1
(on car-out-2 seg-in-7), layer: 1
(on car-in-7 seg-out-3), layer: 1
(on car-out-3 seg-in-7), layer: 1
(on car-in-7 seg-out-4), layer: 1
(on car-out-4 seg-in-7), layer: 1
(on car-in-7 seg-out-5), layer: 1
(on car-out-5 seg-in-7), layer: 1
(on car-in-7 seg-out-6), layer: 1
(on car-out-6 seg-in-7), layer: 1
(on car-in-7 seg-out-7), layer: 1
(on car-out-7 seg-in-7), layer: 1
(on car-in-7 seg-out-8), layer: 1
(on car-out-8 seg-in-7), layer: 1
(on car-in-8 seg-out-1), layer: 1
(on car-out-1 seg-in-8), layer: 1
(analyzed car-in-8), layer: 1
(on car-in-8 seg-out-2), layer: 1
(on car-out-2 seg-in-8), layer: 1
(on car-in-8 seg-out-3), layer: 1
(on car-out-3 seg-in-8), layer: 1
(on car-in-8 seg-out-4), layer: 1
(on car-out-4 seg-in-8), layer: 1
(on car-in-8 seg-out-5), layer: 1
(on car-out-5 seg-in-8), layer: 1
(on car-in-8 seg-out-6), layer: 1
(on car-out-6 seg-in-8), layer: 1
(on car-in-8 seg-out-7), layer: 1
(on car-out-7 seg-in-8), layer: 1
(on car-in-8 seg-out-8), layer: 1
(on car-out-8 seg-in-8), layer: 1
(on car-in-2 seg-in-1), layer: 2
(on car-in-3 seg-in-1), layer: 2
(on car-in-4 seg-in-1), layer: 2
(on car-in-5 seg-in-1), layer: 2
(on car-in-6 seg-in-1), layer: 2
(on car-in-7 seg-in-1), layer: 2
(on car-in-8 seg-in-1), layer: 2
(analyzed car-out-1), layer: 2
(on car-out-2 seg-out-1), layer: 2
(analyzed car-out-2), layer: 2
(on car-out-3 seg-out-1), layer: 2
(analyzed car-out-3), layer: 2
(on car-out-4 seg-out-1), layer: 2
(analyzed car-out-4), layer: 2
(on car-out-5 seg-out-1), layer: 2
(analyzed car-out-5), layer: 2
(on car-out-6 seg-out-1), layer: 2
(analyzed car-out-6), layer: 2
(on car-out-7 seg-out-1), layer: 2
(analyzed car-out-7), layer: 2
(on car-out-8 seg-out-1), layer: 2
(analyzed car-out-8), layer: 2
(on car-out-1 seg-out-2), layer: 2
(on car-out-3 seg-out-2), layer: 2
(on car-out-4 seg-out-2), layer: 2
(on car-out-5 seg-out-2), layer: 2
(on car-out-6 seg-out-2), layer: 2
(on car-out-7 seg-out-2), layer: 2
(on car-out-8 seg-out-2), layer: 2
(on car-out-1 seg-out-3), layer: 2
(on car-out-2 seg-out-3), layer: 2
(on car-out-4 seg-out-3), layer: 2
(on car-out-5 seg-out-3), layer: 2
(on car-out-6 seg-out-3), layer: 2
(on car-out-7 seg-out-3), layer: 2
(on car-out-8 seg-out-3), layer: 2
(on car-out-1 seg-out-4), layer: 2
(on car-out-2 seg-out-4), layer: 2
(on car-out-3 seg-out-4), layer: 2
(on car-out-5 seg-out-4), layer: 2
(on car-out-6 seg-out-4), layer: 2
(on car-out-7 seg-out-4), layer: 2
(on car-out-8 seg-out-4), layer: 2
(on car-out-1 seg-out-5), layer: 2
(on car-out-2 seg-out-5), layer: 2
(on car-out-3 seg-out-5), layer: 2
(on car-out-4 seg-out-5), layer: 2
(on car-out-6 seg-out-5), layer: 2
(on car-out-7 seg-out-5), layer: 2
(on car-out-8 seg-out-5), layer: 2
(on car-out-1 seg-out-6), layer: 2
(on car-out-2 seg-out-6), layer: 2
(on car-out-3 seg-out-6), layer: 2
(on car-out-4 seg-out-6), layer: 2
(on car-out-5 seg-out-6), layer: 2
(on car-out-7 seg-out-6), layer: 2
(on car-out-8 seg-out-6), layer: 2
(on car-out-1 seg-out-7), layer: 2
(on car-out-2 seg-out-7), layer: 2
(on car-out-3 seg-out-7), layer: 2
(on car-out-4 seg-out-7), layer: 2
(on car-out-5 seg-out-7), layer: 2
(on car-out-6 seg-out-7), layer: 2
(on car-out-8 seg-out-7), layer: 2
(on car-out-1 seg-out-8), layer: 2
(on car-out-2 seg-out-8), layer: 2
(on car-out-3 seg-out-8), layer: 2
(on car-out-4 seg-out-8), layer: 2
(on car-out-5 seg-out-8), layer: 2
(on car-out-6 seg-out-8), layer: 2
(on car-out-7 seg-out-8), layer: 2
(on car-in-1 seg-in-2), layer: 2
(on car-in-3 seg-in-2), layer: 2
