(at package-1 city-loc-3), layer: 0
(at package-2 city-loc-3), layer: 0
(at truck-1 city-loc-3), layer: 0
(capacity truck-1 capacity-4), layer: 0
(at truck-2 city-loc-1), layer: 0
(capacity truck-2 capacity-3), layer: 0
(at truck-1 city-loc-1), layer: 1
(at truck-1 city-loc-2), layer: 1
(at truck-2 city-loc-3), layer: 1
(in package-1 truck-1), layer: 1
(capacity truck-1 capacity-3), layer: 1
(in package-2 truck-1), layer: 1
(at truck-2 city-loc-2), layer: 2
(capacity truck-1 capacity-2), layer: 2
(in package-1 truck-2), layer: 2
(capacity truck-2 capacity-2), layer: 2
(in package-2 truck-2), layer: 2
(at package-1 city-loc-1), layer: 2
(at package-2 city-loc-1), layer: 2
(at package-1 city-loc-2), layer: 2
(at package-2 city-loc-2), layer: 2
(capacity-predecessor capacity-0 capacity-1), layer: 0
(capacity-predecessor capacity-1 capacity-2), layer: 0
(capacity-predecessor capacity-2 capacity-3), layer: 0
(capacity-predecessor capacity-3 capacity-4), layer: 0
(road city-loc-3 city-loc-1), layer: 0
(road city-loc-1 city-loc-3), layer: 0
(road city-loc-3 city-loc-2), layer: 0
(road city-loc-2 city-loc-3), layer: 0
