(empty highspeed-saw0), layer: 0
(unused p0), layer: 0
(unused p1), layer: 0
(unused p2), layer: 0
(unused p3), layer: 0
(unused p4), layer: 0
(unused p5), layer: 0
(available p6), layer: 0
(colour p6 natural), layer: 0
(wood p6 walnut), layer: 0
(surface-condition p6 verysmooth), layer: 0
(treatment p6 varnished), layer: 0
(unused p7), layer: 0
(unused p8), layer: 0
(unused p9), layer: 0
(unused p10), layer: 0
(boardsize b0 s9), layer: 0
(wood b0 teak), layer: 0
(surface-condition b0 rough), layer: 0
(available b0), layer: 0
(boardsize b1 s0), layer: 0
(wood b1 teak), layer: 0
(surface-condition b1 rough), layer: 0
(available b1), layer: 0
(boardsize b2 s8), layer: 0
(wood b2 pine), layer: 0
(surface-condition b2 rough), layer: 0
(available b2), layer: 0
(boardsize b3 s4), layer: 0
(wood b3 walnut), layer: 0
(surface-condition b3 rough), layer: 0
(available b3), layer: 0
(treatment p6 colourfragments), layer: 1
(surface-condition p6 smooth), layer: 1
(treatment p6 untreated), layer: 1
(in-highspeed-saw b0 highspeed-saw0), layer: 1
(in-highspeed-saw b1 highspeed-saw0), layer: 1
(in-highspeed-saw b2 highspeed-saw0), layer: 1
(in-highspeed-saw b3 highspeed-saw0), layer: 1
(available p2), layer: 1
(wood p2 teak), layer: 1
(surface-condition p2 rough), layer: 1
(colour p2 natural), layer: 1
(treatment p2 untreated), layer: 1
(boardsize b0 s8), layer: 1
(available p10), layer: 1
(wood p10 teak), layer: 1
(surface-condition p10 rough), layer: 1
(colour p10 natural), layer: 1
(treatment p10 untreated), layer: 1
(wood p2 pine), layer: 1
(boardsize b2 s7), layer: 1
(wood p10 pine), layer: 1
(wood p2 walnut), layer: 1
(boardsize b3 s3), layer: 1
(wood p10 walnut), layer: 1
(available p0), layer: 1
(wood p0 teak), layer: 1
(surface-condition p0 rough), layer: 1
(colour p0 natural), layer: 1
(treatment p0 untreated), layer: 1
(boardsize b0 s7), layer: 1
(available p1), layer: 1
(wood p1 teak), layer: 1
(surface-condition p1 rough), layer: 1
(colour p1 natural), layer: 1
(treatment p1 untreated), layer: 1
(available p7), layer: 1
(wood p7 teak), layer: 1
(surface-condition p7 rough), layer: 1
(colour p7 natural), layer: 1
(treatment p7 untreated), layer: 1
(available p8), layer: 1
(wood p8 teak), layer: 1
(surface-condition p8 rough), layer: 1
(colour p8 natural), layer: 1
(treatment p8 untreated), layer: 1
(available p9), layer: 1
(wood p9 teak), layer: 1
(surface-condition p9 rough), layer: 1
(colour p9 natural), layer: 1
(treatment p9 untreated), layer: 1
(wood p0 pine), layer: 1
(boardsize b2 s6), layer: 1
(wood p1 pine), layer: 1
(wood p7 pine), layer: 1
(wood p8 pine), layer: 1
(wood p9 pine), layer: 1
(wood p0 walnut), layer: 1
(boardsize b3 s2), layer: 1
(wood p1 walnut), layer: 1
